TIME,Value
1995M01,10.5
1995M02,10.3
1995M03,10.6
1995M04,10
1995M05,9.6
1995M06,9.1
1995M07,9.9
1995M08,9.5
1995M09,8.3
1995M10,8.5
1995M11,8.8
1995M12,9
1996M01,10.3
1996M02,10.2
1996M03,10.3
1996M04,9.7
1996M05,9.3
1996M06,9.4
1996M07,9.8
1996M08,9.3
1996M09,9
1996M10,9.2
1996M11,9.5
1996M12,9.3
1997M01,10.3
1997M02,10.3
1997M03,10
1997M04,9.8
1997M05,9.5
1997M06,8.8
1997M07,9.1
1997M08,8.8
1997M09,8.1
1997M10,8.2
1997M11,8.5
1997M12,8
1998M01,9.5
1998M02,9.2
1998M03,9
1998M04,8.6
1998M05,8.4
1998M06,8
1998M07,8.4
1998M08,8
1998M09,7.5
1998M10,7.4
1998M11,7.7
1998M12,7.7
1999M01,8.6
1999M02,8.5
1999M03,8.4
1999M04,8.6
1999M05,8.1
1999M06,7.2
1999M07,7.8
1999M08,7.6
1999M09,6.8
1999M10,6.6
1999M11,6.6
1999M12,6.3
2000M01,7.3
2000M02,7.3
2000M03,7.3
2000M04,7.1
2000M05,6.7
2000M06,6.3
2000M07,7
2000M08,7.2
2000M09,6.3
2000M10,6.4
2000M11,6.5
2000M12,6.4
2001M01,7.5
2001M02,7.5
2001M03,7.6
2001M04,7.4
2001M05,7.1
2001M06,6.7
2001M07,7.3
2001M08,7.5
2001M09,6.6
2001M10,6.7
2001M11,7.1
2001M12,7.6
2002M01,8.7
2002M02,8.5
2002M03,8.4
2002M04,8
2002M05,7.9
2002M06,7.1
2002M07,7.8
2002M08,7.7
2002M09,6.9
2002M10,6.9
2002M11,7.1
2002M12,7.1
2003M01,8.1
2003M02,7.9
2003M03,7.8
2003M04,7.9
2003M05,8
2003M06,7.1
2003M07,7.8
2003M08,8.1
2003M09,7.3
2003M10,6.9
2003M11,7.1
2003M12,6.9
2004M01,7.9
2004M02,7.8
2004M03,7.8
2004M04,7.5
2004M05,7.3
2004M06,6.7
2004M07,7.3
2004M08,7.5
2004M09,6.5
2004M10,6.5
2004M11,6.8
2004M12,6.7
2005M01,7.5
2005M02,7.4
2005M03,7.4
2005M04,7
2005M05,7
2005M06,6.3
2005M07,6.9
2005M08,7.1
2005M09,6.3
2005M10,6.1
2005M11,6
2005M12,6.1
2006M01,7.2
2006M02,6.7
2006M03,6.8
2006M04,6.6
2006M05,6.2
2006M06,5.7
2006M07,6.7
2006M08,6.9
2006M09,6
2006M10,5.6
2006M11,5.9
2006M12,5.7
2007M01,6.7
2007M02,6.5
2007M03,6.6
2007M04,6.4
2007M05,6.1
2007M06,5.6
2007M07,6.2
2007M08,6.4
2007M09,5.5
2007M10,5.3
2007M11,5.7
2007M12,5.6
2008M01,6.3
2008M02,6.2
2008M03,6.5
2008M04,6.3
2008M05,6.2
2008M06,5.6
2008M07,6.3
2008M08,6.5
2008M09,5.6
2008M10,5.6
2008M11,6.2
2008M12,6.4
2009M01,7.9
2009M02,8.3
2009M03,8.8
2009M04,8.7
2009M05,8.9
2009M06,8.2
2009M07,9
2009M08,9.1
2009M09,7.7
2009M10,7.7
2009M11,8
2009M12,7.9
2010M01,8.8
2010M02,8.6
2010M03,8.9
2010M04,8.5
2010M05,8.4
2010M06,7.5
2010M07,8.3
2010M08,8.8
2010M09,7.5
2010M10,7.2
2010M11,7.1
2010M12,7.1
2011M01,8.2
2011M02,8
2011M03,8.3
2011M04,8
2011M05,7.6
2011M06,7.1
2011M07,7.6
2011M08,7.9
2011M09,6.8
2011M10,6.8
2011M11,7.1
2011M12,6.9
2012M01,8
2012M02,7.8
2012M03,7.8
2012M04,7.5
2012M05,7.5
2012M06,6.8
2012M07,7.5
2012M08,7.7
2012M09,6.6
2012M10,6.8
2012M11,6.8
2012M12,6.7
2013M01,7.5
2013M02,7.4
2013M03,7.8
2013M04,7.4
2013M05,7.2
2013M06,6.7
2013M07,7.4
2013M08,7.6
2013M09,6.4
2013M10,6.4
2013M11,6.5
2013M12,6.7
2014M01,7.4
2014M02,7.4
2014M03,7.4
2014M04,7.3
2014M05,7.2
2014M06,6.7
2014M07,7.3
2014M08,7.5
2014M09,6.3
2014M10,6
2014M11,6.2
2014M12,6.2
2015M01,7
2015M02,7.2
2015M03,7.4
2015M04,7.1
2015M05,7.1
2015M06,6.5
2015M07,7.1
2015M08,7.5
2015M09,6.4
2015M10,6.3
2015M11,6.6
2015M12,6.7
2016M01,7.5
2016M02,7.7
2016M03,7.7
2016M04,7.5
2016M05,6.9
2016M06,6.4
2016M07,7.2
2016M08,7.6
2016M09,6.4
2016M10,6.3
2016M11,6.3
2016M12,6.4
2017M01,7.2
2017M02,7
2017M03,7.2
2017M04,6.8
2017M05,6.6
