TIME,Value
1995M01,3.1
1995M02,3.2
1995M03,3.4
1995M04,3.3
1995M05,3.2
1995M06,3.1
1995M07,3.1
1995M08,3.4
1995M09,3.4
1995M10,3.3
1995M11,3.4
1995M12,3.3
1996M01,3.6
1996M02,3.5
1996M03,3.6
1996M04,3.6
1996M05,3.7
1996M06,3.5
1996M07,3.4
1996M08,3.5
1996M09,3.5
1996M10,3.5
1996M11,3.3
1996M12,3.2
1997M01,3.5
1997M02,3.6
1997M03,3.6
1997M04,3.5
1997M05,3.7
1997M06,3.5
1997M07,3.4
1997M08,3.6
1997M09,3.6
1997M10,3.6
1997M11,3.5
1997M12,3.4
1998M01,3.7
1998M02,3.8
1998M03,4.3
1998M04,4.4
1998M05,4.4
1998M06,4.3
1998M07,4.1
1998M08,4.5
1998M09,4.5
1998M10,4.4
1998M11,4.4
1998M12,4.2
1999M01,4.6
1999M02,4.9
1999M03,5.3
1999M04,5.2
1999M05,5.1
1999M06,5
1999M07,4.9
1999M08,4.9
1999M09,4.8
1999M10,4.8
1999M11,4.5
1999M12,4.5
2000M01,4.8
2000M02,5.1
2000M03,5.4
2000M04,5.3
2000M05,5
2000M06,4.9
2000M07,4.7
2000M08,4.8
2000M09,4.9
2000M10,4.8
2000M11,4.7
2000M12,4.6
2001M01,4.9
2001M02,4.9
2001M03,5.3
2001M04,5.4
2001M05,5.3
2001M06,5.2
2001M07,5.1
2001M08,5.2
2001M09,5.6
2001M10,5.4
2001M11,5.4
2001M12,5.2
2002M01,5.4
2002M02,5.6
2002M03,5.9
2002M04,5.8
2002M05,5.9
2002M06,5.7
2002M07,5.5
2002M08,5.7
2002M09,5.7
2002M10,5.6
2002M11,5.3
2002M12,5.2
2003M01,5.6
2003M02,5.5
2003M03,6
2003M04,6
2003M05,5.8
2003M06,5.6
2003M07,5.3
2003M08,5.2
2003M09,5.4
2003M10,5.4
2003M11,5.1
2003M12,4.7
2004M01,5.1
2004M02,5.2
2004M03,5.3
2004M04,5.3
2004M05,5
2004M06,4.9
2004M07,5
2004M08,4.9
2004M09,4.9
2004M10,4.9
2004M11,4.5
2004M12,4.3
2005M01,4.7
2005M02,4.9
2005M03,5
2005M04,4.9
2005M05,4.7
2005M06,4.4
2005M07,4.5
2005M08,4.5
2005M09,4.5
2005M10,4.7
2005M11,4.6
2005M12,4.2
2006M01,4.6
2006M02,4.4
2006M03,4.6
2006M04,4.4
2006M05,4.3
2006M06,4.3
2006M07,4.2
2006M08,4.2
2006M09,4.3
2006M10,4.4
2006M11,4.1
2006M12,3.8
2007M01,4.2
2007M02,4.2
2007M03,4.4
2007M04,4.2
2007M05,4
2007M06,3.8
2007M07,3.7
2007M08,3.9
2007M09,4.2
2007M10,4.3
2007M11,3.9
2007M12,3.6
2008M01,4.1
2008M02,4.2
2008M03,4.2
2008M04,4.2
2008M05,4.1
2008M06,4.1
2008M07,4
2008M08,4.3
2008M09,4.3
2008M10,4
2008M11,4
2008M12,4.3
2009M01,4.4
2009M02,4.8
2009M03,5.3
2009M04,5.4
2009M05,5.5
2009M06,5.5
2009M07,5.7
2009M08,5.7
2009M09,5.7
2009M10,5.4
2009M11,5.3
2009M12,5.1
2010M01,5.2
2010M02,5.2
2010M03,5.6
2010M04,5.6
2010M05,5.5
2010M06,5.4
2010M07,5.2
2010M08,5.4
2010M09,5.4
2010M10,5.3
2010M11,5.1
2010M12,4.8
2011M01,4.9
2011M02,4.8
2011M03,5.1
2011M04,5.2
2011M05,5
2011M06,5
2011M07,5
2011M08,4.7
2011M09,4.4
2011M10,4.6
2011M11,4.5
2011M12,4.5
2012M01,4.7
2012M02,4.6
2012M03,4.9
2012M04,5
2012M05,4.7
2012M06,4.6
2012M07,4.6
2012M08,4.5
2012M09,4.4
2012M10,4.4
2012M11,4.2
2012M12,4.1
2013M01,4.4
2013M02,4.5
2013M03,4.5
2013M04,4.6
2013M05,4.5
2013M06,4.1
2013M07,4.1
2013M08,4.3
2013M09,4.1
2013M10,4.2
2013M11,3.9
2013M12,3.6
2014M01,3.8
2014M02,3.7
2014M03,3.9
2014M04,4
2014M05,3.8
2014M06,3.9
2014M07,4
2014M08,3.6
2014M09,3.7
2014M10,3.7
2014M11,3.5
2014M12,3.3
2015M01,3.7
2015M02,3.6
2015M03,3.7
2015M04,3.7
2015M05,3.6
2015M06,3.6
2015M07,3.6
2015M08,3.6
2015M09,3.5
2015M10,3.3
2015M11,3.4
2015M12,3.3
2016M01,3.4
2016M02,3.4
2016M03,3.4
2016M04,3.5
2016M05,3.4
2016M06,3.3
2016M07,3.2
2016M08,3.3
2016M09,3.1
2016M10,3
2016M11,3.1
2016M12,3
2017M01,3.1
2017M02,3
2017M03,3
2017M04,3.1
2017M05,3.3
