Year,Month,Metric_Tons,Pounds,USD
1991,Jan,351326.5,774534405,191604004
1992,Jan,262536.1,578787115,218621496
1993,Jan,232721.6,513058114,192808664
1994,Jan,275698.6,607805045,190230003
1995,Jan,255170.8,562549624,267496882
1996,Jan,247978.4,546693205,197155121
1997,Jan,312092.2,688038395,202532775
1998,Jan,249262.6,549524238,175450873
1999,Jan,79377.8,174996402,122335958
2000,Jan,79617.6,175524939,124891791
2001,Jan,79590.8,175465828,130314877
2002,Jan,82134.8,181074405,127862099
2003,Jan,75381.4,166185803,132669854
2004,Jan,75392.5,166210317,122175181
2005,Jan,78376.1,172788022,163065171
2006,Jan,100110.3,220703221,172469563
2007,Jan,65864.1,145204104,141264962
2008,Jan,66797.5,147261843,151848540
2009,Jan,84307.3,185863780,137309104
2010,Jan,57981,127825008,134667227
2011,Jan,66516.1,146641345,184167976
2012,Jan,69762.5,153798406,196054015
2013,Jan,56505,124570957,221596875
2014,Jan,49014.7,108057881,179867204
2015,Jan,46057.8,101539031,168316312
1991,Feb,331531.5,730894330,197036461
1992,Feb,500831.1,1104132250,303019370
1993,Feb,472801,1042337050,267162136
1994,Feb,520251.8,1146947102,314044791
1995,Feb,555696.4,1225088328,329716451
1996,Feb,505439.6,1114292134,302538462
1997,Feb,575921.1,1269675651,287815047
1998,Feb,577860.4,1273950985,247005663
1999,Feb,59246.2,130614244,102178212
2000,Feb,71048.6,156633658,119294055
2001,Feb,59816.4,131871229,102608276
2002,Feb,69498.2,153215736,101398741
2003,Feb,51215.2,112909025,97988320
2004,Feb,65224.2,143793168,112651579
2005,Feb,64981.8,143258927,133583505
2006,Feb,79291.6,174806199,152190633
2007,Feb,55225.1,121749233,106455701
2008,Feb,56733.6,125074790,129065265
2009,Feb,59212.8,130540521,112931623
2010,Feb,45495.7,100299749,111509680
2011,Feb,37631.1,82961414,134470533
2012,Feb,49788.1,109762744,174716198
2013,Feb,36230.8,79874388,138196286
2014,Feb,43712.1,96367785,153003133
2015,Feb,26196.7,57753239,126962972
1991,Mar,239503,528008371,203901356
1992,Mar,304332.2,670930874,232201669
1993,Mar,350870.4,773528893,211861845
1994,Mar,255070.7,562328846,181933159
1995,Mar,295042.1,650449751,193247331
1996,Mar,284895.7,628081147,191581401
1997,Mar,283518,625043803,218824246
1998,Mar,253437,558727160,201908856
1999,Mar,58048,127972698,112911514
2000,Mar,63495.3,139981810,117201043
2001,Mar,57349.3,126432158,107624027
2002,Mar,58718.3,129450318,103790710
2003,Mar,60373.4,133099130,109990713
2004,Mar,67265.5,148293607,124174704
2005,Mar,58208.8,128327023,129922647
2006,Mar,67746.5,149354044,157472682
2007,Mar,57618.3,127025209,148076557
2008,Mar,48673.5,107305648,136209045
2009,Mar,48046.8,105924050,144622393
2010,Mar,44214.7,97475650,142506708
2011,Mar,37893.1,83539178,164724451
2012,Mar,39480.2,87038054,196262775
2013,Mar,38101.8,83999313,154867966
2014,Mar,37159.5,81921748,147343277
2015,Mar,40344.8,88944172,161150470
1991,Apr,229840.5,506706297,236216516
1992,Apr,233820.7,515481121,181171418
1993,Apr,192874.5,425211125,143758144
1994,Apr,186250,410606653,142951714
1995,Apr,201267.7,443714749,188378344
1996,Apr,212264.1,467957438,187621734
1997,Apr,203010.4,447556814,182475800
1998,Apr,159352,351307342,161878350
1999,Apr,110891.3,244470975,126947446
2000,Apr,110074.8,242670839,135845775
2001,Apr,94949.4,209325437,137000499
2002,Apr,108724.2,239693264,132227829
2003,Apr,70120.6,154587935,117246789
2004,Apr,72135.9,159030759,134965941
2005,Apr,81991.5,180758386,146538407
2006,Apr,81908.3,180575038,154497119
2007,Apr,65067.5,143447734,141565244
2008,Apr,83913.6,184995820,155092601
2009,Apr,54444.9,120029333,156083697
2010,Apr,76394.8,168420056,185893361
2011,Apr,62552.9,137904036,191370323
2012,Apr,54609.7,120392650,218240128
2013,Apr,44799.6,98765206,206700479
2014,Apr,48388.3,106676933,201662723
2015,Apr,67325.8,148426516,194244243
1991,May,278048.7,612986077,297751264
1992,May,280738.6,618916384,216032411
1993,May,261972.8,577545209,206241261
1994,May,327965.7,723033231,259247202
1995,May,254840.7,561821854,282993979
