TIME,Value
1995M01,8.3
1995M02,8.2
1995M03,8
1995M04,7.9
1995M05,7.7
1995M06,7.5
1995M07,7.8
1995M08,7.8
1995M09,7.6
1995M10,7.4
1995M11,7.3
1995M12,7.4
1996M01,7.9
1996M02,7.9
1996M03,7.6
1996M04,7.6
1996M05,7.3
1996M06,7.2
1996M07,7.4
1996M08,7.4
1996M09,7.2
1996M10,6.8
1996M11,6.4
1996M12,6.4
1997M01,6.3
1997M02,6.1
1997M03,5.8
1997M04,5.6
1997M05,5.4
1997M06,5.1
1997M07,5.3
1997M08,5.2
1997M09,5
1997M10,4.8
1997M11,4.6
1997M12,4.6
1998M01,4.9
1998M02,4.8
1998M03,4.7
1998M04,4.6
1998M05,4.5
1998M06,4.4
1998M07,4.5
1998M08,4.6
1998M09,4.4
1998M10,4.3
1998M11,4.3
1998M12,4.3
1999M01,4.6
1999M02,4.5
1999M03,4.4
1999M04,4.3
1999M05,4.2
1999M06,4.1
1999M07,4.2
1999M08,4.2
1999M09,4
1999M10,3.8
1999M11,3.8
1999M12,3.7
2000M01,4
2000M02,4
2000M03,3.9
2000M04,3.7
2000M05,3.6
2000M06,3.5
2000M07,3.5
2000M08,3.5
2000M09,3.4
2000M10,3.3
2000M11,3.3
2000M12,3.3
2001M01,3.5
2001M02,3.5
2001M03,3.4
2001M04,3.3
2001M05,3.2
2001M06,3.1
2001M07,3.1
2001M08,3.1
2001M09,3
2001M10,3
2001M11,3
2001M12,3.1
2002M01,3.3
2002M02,3.3
2002M03,3.2
2002M04,3.1
2002M05,3.1
2002M06,3
2002M07,3.1
2002M08,3.1
2002M09,3
2002M10,2.9
2002M11,2.9
2002M12,2.9
2003M01,3.2
2003M02,3.2
2003M03,3.2
2003M04,3.1
2003M05,3
2003M06,3
2003M07,3
2003M08,3
2003M09,2.9
2003M10,2.8
2003M11,2.8
2003M12,2.8
2004M01,3
2004M02,3
2004M03,2.9
2004M04,2.9
2004M05,2.7
2004M06,2.6
2004M07,2.7
2004M08,2.7
2004M09,2.6
2004M10,2.5
2004M11,2.5
2004M12,2.6
2005M01,2.7
2005M02,2.8
2005M03,2.7
2005M04,2.7
2005M05,2.7
2005M06,2.7
2005M07,2.7
2005M08,2.7
2005M09,2.7
2005M10,2.7
2005M11,2.7
2005M12,2.8
2006M01,2.9
2006M02,3
2006M03,3
2006M04,3
2006M05,3
2006M06,2.9
2006M07,2.9
2006M08,2.9
2006M09,2.9
2006M10,2.9
2006M11,2.8
2006M12,2.8
2007M01,2.9
2007M02,3
2007M03,2.9
2007M04,2.8
2007M05,2.7
2007M06,2.6
2007M07,2.6
2007M08,2.6
2007M09,2.5
2007M10,2.4
2007M11,2.4
2007M12,2.4
2008M01,2.5
2008M02,2.6
2008M03,2.6
2008M04,2.5
2008M05,2.5
2008M06,2.5
2008M07,2.6
2008M08,2.8
2008M09,2.9
2008M10,2.9
2008M11,3.2
2008M12,3.5
2009M01,3.9
2009M02,4.4
2009M03,4.6
2009M04,4.7
2009M05,4.7
2009M06,4.7
2009M07,4.7
2009M08,4.8
2009M09,4.8
2009M10,4.8
2009M11,4.7
2009M12,4.7
2010M01,5
2010M02,5
2010M03,4.9
2010M04,4.8
2010M05,4.6
2010M06,4.4
2010M07,4.4
2010M08,4.4
2010M09,4.4
2010M10,4.3
2010M11,4.3
2010M12,4.3
2011M01,4.6
2011M02,4.7
2011M03,4.6
2011M04,4.6
2011M05,4.6
2011M06,4.5
2011M07,4.7
2011M08,4.8
2011M09,4.8
2011M10,4.7
2011M11,4.7
2011M12,4.8
2012M01,4.9
2012M02,5
2012M03,5
2012M04,4.8
2012M05,4.8
2012M06,4.7
2012M07,4.7
2012M08,4.7
2012M09,4.6
2012M10,4.6
2012M11,4.6
2012M12,4.6
2013M01,4.7
2013M02,4.8
2013M03,4.7
2013M04,4.6
2013M05,4.4
2013M06,4.3
2013M07,4.2
2013M08,4.1
2013M09,3.9
2013M10,3.8
2013M11,3.6
2013M12,3.6
2014M01,3.6
2014M02,3.6
2014M03,3.5
2014M04,3.3
2014M05,3.2
2014M06,3
2014M07,2.9
2014M08,2.8
2014M09,2.7
2014M10,2.6
2014M11,2.5
2014M12,2.4
2015M01,2.5
2015M02,2.6
2015M03,2.5
2015M04,2.4
2015M05,2.3
2015M06,2.3
2015M07,2.3
2015M08,2.3
2015M09,2.2
2015M10,2.2
2015M11,2.1
2015M12,2.1
2016M01,2.2
2016M02,2.3
2016M03,2.3
2016M04,2.3
2016M05,2.3
2016M06,2.2
2016M07,2.2
2016M08,2.2
2016M09,2.2
2016M10,2.2
2016M11,2.2
2016M12,2.2
2017M01,2.2
2017M02,2.3
2017M03,2.4
2017M04,2.4
2017M05,2.4
