TIME,Value
1995M01,6.2
1995M02,5.9
1995M03,5.7
1995M04,5.6
1995M05,5.5
1995M06,5.8
1995M07,5.9
1995M08,5.6
1995M09,5.4
1995M10,5.2
1995M11,5.3
1995M12,5.2
1996M01,6.3
1996M02,6
1996M03,5.8
1996M04,5.4
1996M05,5.4
1996M06,5.5
1996M07,5.6
1996M08,5.1
1996M09,5
1996M10,4.9
1996M11,5
1996M12,5
1997M01,5.9
1997M02,5.7
1997M03,5.5
1997M04,4.8
1997M05,4.7
1997M06,5.2
1997M07,5
1997M08,4.8
1997M09,4.7
1997M10,4.4
1997M11,4.3
1997M12,4.4
1998M01,5.2
1998M02,5
1998M03,5
1998M04,4.1
1998M05,4.2
1998M06,4.7
1998M07,4.7
1998M08,4.5
1998M09,4.4
1998M10,4.2
1998M11,4.1
1998M12,4
1999M01,4.8
1999M02,4.7
1999M03,4.4
1999M04,4.1
1999M05,4
1999M06,4.5
1999M07,4.5
1999M08,4.2
1999M09,4.1
1999M10,3.8
1999M11,3.8
1999M12,3.7
2000M01,4.5
2000M02,4.4
2000M03,4.3
2000M04,3.7
2000M05,3.8
2000M06,4.1
2000M07,4.2
2000M08,4.1
2000M09,3.8
2000M10,3.6
2000M11,3.7
2000M12,3.7
2001M01,4.7
2001M02,4.6
2001M03,4.5
2001M04,4.2
2001M05,4.1
2001M06,4.7
2001M07,4.7
2001M08,4.9
2001M09,4.7
2001M10,5
2001M11,5.3
2001M12,5.4
2002M01,6.3
2002M02,6.1
2002M03,6.1
2002M04,5.7
2002M05,5.5
2002M06,6
2002M07,5.9
2002M08,5.7
2002M09,5.4
2002M10,5.3
2002M11,5.6
2002M12,5.7
2003M01,6.5
2003M02,6.4
2003M03,6.2
2003M04,5.8
2003M05,5.8
2003M06,6.5
2003M07,6.3
2003M08,6
2003M09,5.8
2003M10,5.6
2003M11,5.6
2003M12,5.4
2004M01,6.3
2004M02,6
2004M03,6
2004M04,5.4
2004M05,5.3
2004M06,5.8
2004M07,5.7
2004M08,5.4
2004M09,5.1
2004M10,5.1
2004M11,5.2
2004M12,5.1
2005M01,5.7
2005M02,5.8
2005M03,5.4
2005M04,4.9
2005M05,4.9
2005M06,5.2
2005M07,5.2
2005M08,4.9
2005M09,4.8
2005M10,4.6
2005M11,4.8
2005M12,4.6
2006M01,5.1
2006M02,5.1
2006M03,4.8
2006M04,4.5
2006M05,4.4
2006M06,4.8
2006M07,5
2006M08,4.6
2006M09,4.4
2006M10,4.1
2006M11,4.3
2006M12,4.3
2007M01,5
2007M02,4.9
2007M03,4.5
2007M04,4.3
2007M05,4.3
2007M06,4.7
2007M07,4.9
2007M08,4.6
2007M09,4.5
2007M10,4.4
2007M11,4.5
2007M12,4.8
2008M01,5.4
2008M02,5.2
2008M03,5.2
2008M04,4.8
2008M05,5.2
2008M06,5.7
2008M07,6
2008M08,6.1
2008M09,6
2008M10,6.1
2008M11,6.5
2008M12,7.1
2009M01,8.5
2009M02,8.9
2009M03,9
2009M04,8.6
2009M05,9.1
2009M06,9.7
2009M07,9.7
2009M08,9.6
2009M09,9.5
2009M10,9.5
2009M11,9.4
2009M12,9.7
2010M01,10.6
2010M02,10.4
2010M03,10.2
2010M04,9.5
2010M05,9.3
2010M06,9.6
2010M07,9.7
2010M08,9.5
2010M09,9.2
2010M10,9
2010M11,9.3
2010M12,9.1
2011M01,9.8
2011M02,9.5
2011M03,9.2
2011M04,8.7
2011M05,8.7
2011M06,9.3
2011M07,9.3
2011M08,9.1
2011M09,8.8
2011M10,8.5
2011M11,8.2
2011M12,8.3
2012M01,8.8
2012M02,8.7
2012M03,8.4
2012M04,7.7
2012M05,7.9
2012M06,8.4
2012M07,8.6
2012M08,8.2
2012M09,7.6
2012M10,7.5
2012M11,7.4
2012M12,7.6
2013M01,8.5
2013M02,8.1
2013M03,7.6
2013M04,7.1
2013M05,7.3
2013M06,7.8
2013M07,7.7
2013M08,7.3
2013M09,7
2013M10,7
2013M11,6.6
2013M12,6.5
2014M01,7
2014M02,7
2014M03,6.8
2014M04,5.9
2014M05,6.1
2014M06,6.3
2014M07,6.5
2014M08,6.3
2014M09,5.7
2014M10,5.5
2014M11,5.5
2014M12,5.4
2015M01,6.1
2015M02,5.8
2015M03,5.6
2015M04,5.1
2015M05,5.3
2015M06,5.5
2015M07,5.6
2015M08,5.2
2015M09,4.9
2015M10,4.8
2015M11,4.8
2015M12,4.8
2016M01,5.3
2016M02,5.2
2016M03,5.1
2016M04,4.7
2016M05,4.5
2016M06,5.1
2016M07,5.1
2016M08,5
2016M09,4.8
2016M10,4.7
2016M11,4.4
2016M12,4.5
2017M01,5.1
2017M02,4.9
2017M03,4.6
2017M04,4.1
2017M05,4.1
