Month,Price_Melb,Price_Darwin
May-98,68.9,80
Jun-98,68.7,79.9
Jul-98,67.9,79.4
Aug-98,66.7,78
Sep-98,65.6,75.7
Oct-98,67,76.2
Nov-98,65.7,75.7
Dec-98,63.4,76.3
Jan-99,64.4,74.2
Feb-99,64.3,73.1
Mar-99,65.3,73.9
Apr-99,69.9,76.9
May-99,67.3,76.9
Jun-99,67.2,77
Jul-99,70.7,78.1
Aug-99,75.1,82.9
Sep-99,75.8,84.6
Oct-99,74,84.6
Nov-99,74.2,84.9
Dec-99,76,86
Jan-00,76.2,85.7
Feb-00,79.7,89.9
Mar-00,86.6,95.3
Apr-00,79.7,92.2
May-00,83.5,94
Jun-00,84.6,95.3
Jul-00,88.5,97.4
Aug-00,93.6,102.3
Sep-00,95.2,103.4
Oct-00,94.9,103.1
Nov-00,93.1,102
Dec-00,94.5,101.5
Jan-01,87.8,99.8
Feb-01,93,100.2
Mar-01,92.9,100.5
Apr-01,94.1,101.6
May-01,93.3,105.8
Jun-01,87.2,99.5
Jul-01,81.6,96
Aug-01,84.6,96.3
Sep-01,89.2,99.4
Oct-01,84.8,94.4
Nov-01,79.9,87.4
Dec-01,82.8,87.5
Jan-02,79.8,86.7
Feb-02,82.8,88.1
Mar-02,86.6,91
Apr-02,90,95.5
May-02,88.9,95.9
Jun-02,85.3,95
Jul-02,86,92.3
Aug-02,86.7,93.7
Sep-02,88,95.4
Oct-02,89.9,96.5
Nov-02,87.6,94.9
Dec-02,87.8,94.2
Jan-03,91.8,96.2
Feb-03,96.9,100.5
Mar-03,98.4,104.8
Apr-03,89.4,102.2
May-03,85.2,97.5
Jun-03,85.4,96.5
Jul-03,85.2,96.4
Aug-03,89.3,97.9
Sep-03,90.6,98.2
Oct-03,86.5,97.3
Nov-03,87.4,97
Dec-03,86.3,96.9
Jan-04,92.1,99.3
Feb-04,89.6,99.9
Mar-04,93.4,100.2
Apr-04,93.9,100.2
May-04,98.9,103.3
Jun-04,99.7,107
Jul-04,95.9,106.2
Aug-04,101.1,107.7
Sep-04,99.5,106.3
Oct-04,104.3,109.7
Nov-04,102,111.8
Dec-04,95.6,110.8
Jan-05,93,107.3
Feb-05,97.4,106.2
Mar-05,104.5,109.8
Apr-05,108.1,114.9
May-05,102.8,114.6
Jun-05,106.6,113.6
Jul-05,111.8,115.3
Aug-05,119.9,118.9
Sep-05,128.4,133.6
Oct-05,124.3,135
Nov-05,114,130.3
Dec-05,113.6,123.1
Jan-06,120,124.9
Feb-06,117.1,129.1
Mar-06,120.3,128.6
Apr-06,130.5,134.7
May-06,133.1,142.2
Jun-06,136.9,143.4
Jul-06,136.6,144.8
Aug-06,136.5,145.2
Sep-06,124.9,135.8
Oct-06,116.5,128.3
Nov-06,114.2,125.6
Dec-06,117.5,125
Jan-07,113.1,124.9
Feb-07,114.2,123
Mar-07,123.5,132
Apr-07,125.7,135.3
May-07,130.4,137.8
Jun-07,129.5,141.5
Jul-07,126.8,138.1
Aug-07,121.6,133.9
