Quarter,Price_Melb,Inflation
Jun-98,68.7,0.007
Sep-98,65.6,0.014
Dec-98,63.4,0.015
Mar-99,65.3,0.012
Jun-99,67.2,0.01
Sep-99,75.8,0.018
Dec-99,76,0.019
Mar-00,86.6,0.028
Jun-00,84.6,0.031
Sep-00,95.2,0.061
Dec-00,94.5,0.058
Mar-01,92.9,0.06
Jun-01,87.2,0.061
Sep-01,89.2,0.025
Dec-01,82.8,0.031
Mar-02,86.6,0.03
Jun-02,85.3,0.028
Sep-02,88,0.032
Dec-02,87.8,0.029
Mar-03,98.4,0.033
Jun-03,85.4,0.026
Sep-03,90.6,0.026
Dec-03,86.3,0.024
Mar-04,93.4,0.02
Jun-04,99.7,0.025
Sep-04,99.5,0.023
Dec-04,95.6,0.025
Mar-05,104.5,0.024
Jun-05,106.6,0.025
Sep-05,128.4,0.031
Dec-05,113.6,0.028
Mar-06,120.3,0.029
Jun-06,136.9,0.04
Sep-06,124.9,0.04
Dec-06,117.5,0.033
Mar-07,123.5,0.025
Jun-07,129.5,0.021
Sep-07,122.5,0.018
Dec-07,139,0.029
Mar-08,140.1,0.043
Jun-08,160.7,0.044
Sep-08,152.2,0.05
Dec-08,106.3,0.037
Mar-09,118.1,0.024
Jun-09,125.1,0.014
Sep-09,124.3,0.012
Dec-09,121.8,0.021
Mar-10,128.9,0.029
Jun-10,128.1,0.031
Sep-10,120,0.029
Dec-10,129.4,0.028
Mar-11,142,0.033
Jun-11,138.9,0.035
Sep-11,142.7,0.034
Dec-11,137.7,0.03
Mar-12,145.8,0.016
Jun-12,130.2,0.012
Sep-12,142.6,0.02
Dec-12,140.3,0.022
Mar-13,144.2,0.025
Jun-13,144.8,0.024
Sep-13,149.5,0.022
Dec-13,150.3,0.027
Mar-14,152.3,0.029
Jun-14,149.5,0.03
Sep-14,139.7,0.023
Dec-14,121.8,0.017
Mar-15,128.5,0.013
Jun-15,138.3,0.015
Sep-15,127.9,0.015
Dec-15,121.5,0.017
Mar-16,111.7,0.013
Jun-16,125.7,0.01
Sep-16,118.3,0.013
Dec-16,126.2,0.015
Mar-17,130.2,0.021
