Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1986,0.076446957,0.06693375,0.053308571,0.0385736,0.034726122,0.01393,0.039395,0.033354286,0.046543784,0.040072368,0.043002857,0.044207936
1987,0.041277116,0.024445,0.040601667,0.035034167,0.029149231,0.028002581,0.018000333,0.044799286,0.075780857,0.047903684,0.037751481,0.043592833
1988,0.033786111,0.042109,0.041824118,0.036045333,0.031586111,0.042365882,0.027269167,0.024337273,0.0586765,0.058826667,0.060976667,0.028922941
1989,0.0403325,0.031059677,0.05105125,0.0411625,0.029159333,0.013907,0.016284,0.024744333,0.044415167,0.036255714,0.053929167,0.038922642
1990,0.060117667,0.042577,0.047623404,0.0558,0.061183469,0.043045,0.033199333,0.042376,0.070847667,0.054885455,0.060804706,0.039685
1991,0.051561667,0.067595,0.055268485,0.0547995,0.034232857,0.036644286,0.03351,0.127369375,0.168131212,0.145673,0.166326667,0.160275263
1992,0.130059643,0.122844,0.1176945,0.124057333,0.131341071,0.163053167,0.1808125,0.160364286,0.201094211,0.173973167,0.178696667,0.1314315
1993,0.10449963,0.113312381,0.095053167,0.096579375,0.086538889,0.100335385,0.118601277,0.105413833,0.090308333,0.09542725,0.100103953,0.09919625
1994,0.100571429,0.06497,0.073860167,0.088996591,0.082213667,0.037674839,0.080505,0.091132381,0.065840667,0.072321333,0.09820425,0.071653696
1995,0.105515714,0.084559,0.088812857,0.077150833,0.070741864,0.070838704,0.030288095,0.095620556,0.0687576,0.057829286,0.071984,0.093219722
1996,0.080459412,0.052870556,0.064188,0.070670333,0.071658,0.070577719,0.070530765,0.070559541,0.070697549,0.07095454,0.096055,0.057633833
1997,0.072471111,0.070516087,0.076076923,0.043955217,0.02611,0.029996923,0.047487833,0.030709762,0.061589808,0.057850167,0.084455128,0.0919925
1998,0.069600245,0.069552698,0.069570885,0.069683818,0.069899861,0.036731429,0.035869,0.036322222,0.060222353,0.060654222,0.0427772,0.075609091
1999,0.039628833,0.043743667,0.062553056,0.0339825,0.032924833,0.040671471,0.0112795,0.0338975,0.045757826,0.040137,0.039283636,0.055887778
