"","Gender","Age Range","2012-13","2013-14","2014-15","2015-16","2016-17"
"1","Male","0 - 4",74,61,63,41,29
"2","Male","5 - 9",84,121,120,107,97
"3","Male","10 - 14",72,80,107,88,100
"4","Male","15 - 19",52,70,82,74,80
"5","Male","20 - 24",64,47,74,95,90
"6","Male","25 - 29",62,60,100,101,112
"7","Male","30 - 34",70,61,78,91,120
"8","Male","35 - 39",68,67,80,82,148
"9","Male","40 - 44",87,78,91,114,134
"10","Male","45 - 49",65,72,105,114,163
"11","Male","50 - 54",77,51,80,87,118
"12","Male","55 - 59",38,43,62,60,99
"13","Male","60 - 64",42,28,45,53,63
"14","Male","65 and older",59,52,66,85,148
"15","Female","0 - 4",47,57,86,45,48
"16","Female","5 - 9",65,94,120,129,106
"17","Female","10 - 14",66,93,113,136,114
"18","Female","15 - 19",70,96,141,142,126
"19","Female","20 - 24",89,154,202,238,195
"20","Female","25 - 29",128,229,260,321,222
"21","Female","30 - 34",162,244,288,336,268
"22","Female","35 - 39",201,225,294,310,247
"23","Female","40 - 44",191,210,262,318,226
"24","Female","45 - 49",122,166,189,219,231
"25","Female","50 - 54",84,112,110,167,95
"26","Female","55 - 59",38,57,75,93,54
"27","Female","60 - 64",29,29,51,54,54
"28","Female","65 and older",44,52,63,69,82
