,X,height,weight
1,1,185.09,45.19
2,2,181.65,61.83
3,3,176.27,69.32
4,4,173.27,64.48
5,5,172.18,65.37
6,6,174.49,55.86
7,7,177.3,64.1
8,8,177.84,61.82
9,9,172.47,50.9
10,10,169.63,54.66
11,11,168.88,57.74
12,12,171.76,51.71
13,13,173.49,56.9
14,14,173.43,52.59
15,15,180.57,63.42
16,16,168.81,58.66
17,17,174.37,64.77
18,18,180.93,62.47
19,19,170.51,56.19
20,20,172.3,64
21,21,174.95,65.02
22,22,173.79,58.66
23,23,171.78,64.26
24,24,170.71,58.77
25,25,179.94,64.52
26,26,171.44,59.59
27,27,169,49.07
28,28,166.22,51.59
29,29,176.59,46.8
30,30,167.17,54.7
31,31,172.25,56.98
32,32,179.31,61.71
33,33,182.38,63.47
34,34,175.78,58.32
35,35,169.68,64.24
36,36,171.85,54.92
37,37,172.23,59.5
38,38,162.68,48.34
39,39,174.18,56.33
40,40,165.57,56.56
41,41,176.93,63.27
42,42,172.64,62.23
43,43,167.59,48.22
44,44,174.43,58.33
45,45,169.88,65.99
46,46,171.95,52.92
47,47,177.35,65.06
48,48,175.48,61.12
49,49,177.58,66.6
50,50,171.02,57.23
51,51,178.48,56.84
52,52,175.52,52.42
53,53,166.07,55.94
54,54,178.27,67
55,55,178.83,70.62
56,56,169.02,58.02
57,57,168.57,54.07
58,58,171.54,60.62
59,59,168.92,58.32
60,60,175.26,62.31
61,61,173.49,58.78
62,62,170.21,58.36
63,63,179.85,61.3
64,64,173.28,49.65
65,65,175.41,64.54
66,66,172.04,60.14
67,67,170.73,46.9
68,68,171.11,56.5
69,69,165.79,58.58
70,70,179.94,60.71
71,71,177.61,63.6
72,72,163.28,46.58
73,73,173.34,58.22
74,74,168.55,54.5
75,75,173.64,62.79
76,76,166.31,60.23
77,77,177.09,52.38
78,78,172.02,55.5
79,79,174.34,60.99
80,80,169.63,55.22
81,81,177.93,70.39
82,82,168.35,58.41
83,83,175.77,58.48
84,84,175.6,63.18
85,85,171.11,63.82
86,86,178.04,59.61
87,87,178.25,54.87
88,88,173.29,59.58
89,89,173.05,61.86
90,90,178.42,64.09
91,91,181.58,63.7
92,92,175.78,50.8
93,93,177.96,60.46
94,94,179.21,59.71
95,95,168.37,54.37
96,96,161.1,55.76
97,97,169.59,58.05
98,98,174.97,52.31
99,99,164.78,46.25
100,100,170.42,59.05
101,101,173.6,60.79
102,102,172.1,51.9
103,103,172.77,55.94
104,104,171.86,55.74
105,105,168.44,57.29
106,106,176.37,58.17
107,107,162.14,57.62
108,108,172.02,55.29
109,109,177.93,57.81
110,110,178.27,59.63
111,111,167.5,50.69
112,112,177.82,55.28
113,113,174.27,58.24
114,114,174.77,60.1
115,115,177.2,61.64
116,116,166.26,52.52
117,117,174.82,62.02
118,118,167.13,54.31
119,119,170.73,49.38
120,120,176.33,58.11
121,121,175.12,61.29
122,122,172.57,48.41
123,123,166.69,55.85
124,124,168.9,49.61
125,125,172.54,54.05
126,126,174.99,63.53
127,127,178.41,60.69
128,128,173.4,60.06
129,129,180.93,59.21
130,130,175.51,52.35
131,131,163.57,56.08
132,132,180.58,58.05
133,133,173.28,61.59
134,134,167.43,52.83
135,135,171.29,-
136,136,177.75,-
137,137,176.58,-
138,138,165.57,-
139,139,172.74,-
140,140,173.58,57.8
141,141,165.57,48.54
142,142,173.39,52.76
143,143,174.16,60.63
144,144,163.82,51.14
145,145,174.52,59.23
146,146,174.98,62.4
147,147,176.63,56.81
148,148,171.2,62.73
149,149,168.85,54.73
150,150,167.67,63.49
151,151,184.01,61.94
152,152,162.88,48.07
153,153,171.45,49.28
154,154,182.92,62.87
155,155,165.89,52.51
156,156,170.37,66.27
157,157,163.55,49.77
158,158,176.2,62.99
159,159,173.68,54.31
160,160,165.89,58.12
161,161,170.53,57.64
162,162,173.72,-
163,163,168.38,-
164,164,170.65,-
165,165,167.62,-
166,166,176.36,-
167,167,172.66,-
168,168,172.11,56.46
169,169,165.81,54.14
170,170,169.71,47.49
171,171,169.91,55.74
172,172,166.97,53.86
173,173,167.6,55.04
174,174,169.12,54.02
175,175,170.47,61.17
176,176,167.32,52.65
177,177,169.62,49.46
178,178,174.59,56.27
179,179,168.22,63.95
180,180,167.54,58.5
181,181,174.2,57.92
182,182,169.15,54.78
183,183,170.09,57.82
184,184,172.92,45.97
185,185,178.28,65.68
186,186,166.42,50.26
187,187,171.35,60.19
188,188,171.22,66.29
189,189,176.94,65.95
190,190,167.13,54.74
191,191,167.91,52.45
192,192,173.33,58.12
193,193,172.78,57.74
194,194,181.33,57.93
195,195,166.96,55.04
196,196,168.74,51.06
197,197,177.83,61.16
198,198,176.48,58.29
199,199,174.31,56.36
200,200,173.64,63.43
201,201,173.71,53.24
202,202,174.69,65.17
203,203,177.61,63.95
204,204,181.75,70.64
205,205,173.86,60.71
206,206,169.45,58.93
207,207,169.38,48.12
208,208,172.56,50.76
209,209,175,61.69
210,210,170.92,59.45
211,211,176.71,59.49
212,212,171.89,54.15
213,213,175.37,53
214,214,172.64,62.75
215,215,167.23,49.67
216,216,167.06,58.96
217,217,180.7,62.11
218,218,172.29,51.53
219,219,165.28,52.08
220,220,177.06,57.85
221,221,177.62,55.26
222,222,167.93,53.44
223,223,174.28,57.85
224,224,175.25,53.44
225,225,169.65,56.7
226,226,172.78,63.92
227,227,176.97,65.9
228,228,182.43,52.58
229,229,184.78,61.49
230,230,170.89,60.21
231,231,171.22,52.39
232,232,174.07,51.79
233,233,173.92,67.48
234,234,174.04,64.41
235,235,161.86,60.75
236,236,171.97,64.28
237,237,176.46,62.85
238,238,169.42,60.91
239,239,165.69,53.01
240,240,177.53,52.4
241,241,177.37,61.06
242,242,166.11,54.62
243,243,173.54,54.4
244,244,178.05,62.94
245,245,167.78,65.02
