Gender,Age,Class,UsuallyDrink,FavBotWatBrand,Preference,First,Second,Third,Fourth
F,18,F,F,DEER PARK,CABD,C,A,B,D
F,18,F,T,NONE,CABD,C,A,B,D
F,18,F,T,DEER PARK,CADB,C,A,D,B
F,18,F,T,AQUAFINA,CBDA,C,B,D,A
M,19,J,F,NONE,CBAD,C,B,A,D
M,19,J,F,SAM'S,CABC,C,,,
F,19,SO,T,NONE,CABD,C,A,B,D
F,40,O,B,SAM'S,BDCA,B,D,C,A
M,23,SR,T,NONE,BCDA,B,C,D,A
F,35,O,T,FIJI,CABD,C,A,B,D
M,9,O,T,NONE,DACB,D,A,C,B
M,18,F,T,NONE,ACBD,A,C,B,D
F,19,SO,B,NONE,BDAC,B,D,A,C
F,45,O,NA,NONE,DABC,D,A,B,C
F,19,SO,B,NONE,ABCD,A,B,C,D
F,19,SO,T,AQUAFINA,DBCA,D,B,C,A
F,22,O,B,KIRKLAND,CABD,C,A,B,D
F,21,SR,T,AQUAFINA,CABD,C,A,B,D
F,19,SO,B,DEER PARK,CABD,C,A,B,D
F,19,SO,B,DEER PARK,ABCD,A,B,C,D
F,18,F,B,NONE,CBAD,C,B,A,D
F,21,SR,B,AQUAFINA,BACD,B,A,C,D
F,19,SO,B,DEER PARK,ACBD,A,C,B,D
F,19,SO,B,AQUAFINA,BCAD,B,C,A,D
F,19,SO,B,DEER PARK,CADB,C,A,D,B
F,18,F,T,AQUAFINA,BCAD,B,C,A,D
M,19,SO,NA,DEER PARK,CBAD,C,B,A,D
M,2,O,F,AQUAFINA,CABD,C,A,B,D
F,18,F,F,AQUAFINA,ACBD,A,C,B,D
F,18,F,B,AQUAFINA,ABDC,A,B,D,C
F,18,F,B,AQUAFINA,CADA,C,,,
M,22,SR,F,FIJI,BCAD,B,C,A,D
F,21,SR,B,AQUAFINA,CABD,C,A,B,D
M,40,O,F,AQUAFINA,ADCB,A,D,C,B
M,19,J,F,SAM'S,BACD,B,A,C,D
M,18,F,NA,NONE,DABC,D,A,B,C
M,21,SR,T,NONE,ACDB,A,C,D,B
F,21,O,T,NONE,CBAD,C,B,A,D
F,21,O,T,NONE,ABCD,A,B,C,D
F,19,SO,B,NONE,CADB,C,A,D,B
M,19,SO,T,NONE,CBDA,C,B,D,A
F,19,SO,T,NONE,DBCA,D,B,C,A
F,21,SR,T,NONE,CBDA,C,B,D,A
F,21,SR,NA,NONE,ACBD,A,C,B,D
F,20,SR,B,DEER PARK,BCDA,B,C,D,A
M,21,SR,F,NONE,ABDC,A,B,D,C
M,18,F,T,DEER PARK,BADC,B,A,D,C
F,21,O,NA,TYRANT,ABCD,A,B,C,D
F,21,SR,B,DEER PARK,DABC,D,A,B,C
F,21,SR,B,DEER PARK,CDAB,C,D,A,B
F,9,O,F,AQUAFINA,DCAB,D,C,A,B
F,18,F,F,AQUAFINA,ABDC,A,B,D,C
F,18,F,T,NONE,CDBA,C,D,B,A
F,19,SO,B,DEER PARK,CBAD,C,B,A,D
F,21,J,F,AQUAFINA,CADB,C,A,D,B
F,45,O,T,NONE,CDBA,C,D,B,A
M,18,F,B,NESTLES,CDBA,C,D,B,A
F,21,J,B,PURE LIFE,ACDB,A,C,D,B
F,20,J,B,NONE,BCDA,B,C,D,A
M,46,O,T,NONE,CDBA,C,D,B,A
F,48,O,B,DASANI,BACD,B,A,C,D
F,21,SR,F,DASANI,CBAD,C,B,A,D
F,21,SR,NA,AQUAFINA,BACD,B,A,C,D
F,18,F,F,PURE LIFE,DBCA,D,B,C,A
M,20,J,F,AQUAFINA,DBAC,D,B,A,C
F,19,SO,T,AQUAFINA,ACBD,A,C,B,D
M,21,SR,B,DEER PARK,BCAD,B,C,A,D
F,19,F,F,AQUAFINA,ABDC,A,B,D,C
M,18,F,B,SPRING WATER,DBCA,D,B,C,A
F,18,F,NA,AQUAFINA,CBDA,C,B,D,A
F,21,SR,B,DASANI,BCDA,B,C,D,A
F,22,SR,F,AQUAFINA,BDAC,B,D,A,C
F,21,O,T,NONE,BCAD,B,C,A,D
F,19,SO,B,NONE,BADC,B,A,D,C
F,17,F,B,NONE,CADB,C,A,D,B
F,20,J,B,AQUAFINA,CDBA,C,D,B,A
F,18,F,T,NONE,ACDB,A,C,D,B
