"","X1","Gender","Age Range","Year","Cases"
"1",1,"Male","0 - 4","2012-13",74
"2",2,"Male","5 - 9","2012-13",84
"3",3,"Male","10 - 14","2012-13",72
"4",4,"Male","15 - 19","2012-13",52
"5",5,"Male","20 - 24","2012-13",64
"6",6,"Male","25 - 29","2012-13",62
"7",7,"Male","30 - 34","2012-13",70
"8",8,"Male","35 - 39","2012-13",68
"9",9,"Male","40 - 44","2012-13",87
"10",10,"Male","45 - 49","2012-13",65
"11",11,"Male","50 - 54","2012-13",77
"12",12,"Male","55 - 59","2012-13",38
"13",13,"Male","60 - 64","2012-13",42
"14",14,"Male","65 and older","2012-13",59
"15",15,"Female","0 - 4","2012-13",47
"16",16,"Female","5 - 9","2012-13",65
"17",17,"Female","10 - 14","2012-13",66
"18",18,"Female","15 - 19","2012-13",70
"19",19,"Female","20 - 24","2012-13",89
"20",20,"Female","25 - 29","2012-13",128
"21",21,"Female","30 - 34","2012-13",162
"22",22,"Female","35 - 39","2012-13",201
"23",23,"Female","40 - 44","2012-13",191
"24",24,"Female","45 - 49","2012-13",122
"25",25,"Female","50 - 54","2012-13",84
"26",26,"Female","55 - 59","2012-13",38
"27",27,"Female","60 - 64","2012-13",29
"28",28,"Female","65 and older","2012-13",44
"29",1,"Male","0 - 4","2013-14",61
"30",2,"Male","5 - 9","2013-14",121
"31",3,"Male","10 - 14","2013-14",80
"32",4,"Male","15 - 19","2013-14",70
"33",5,"Male","20 - 24","2013-14",47
"34",6,"Male","25 - 29","2013-14",60
"35",7,"Male","30 - 34","2013-14",61
"36",8,"Male","35 - 39","2013-14",67
"37",9,"Male","40 - 44","2013-14",78
"38",10,"Male","45 - 49","2013-14",72
"39",11,"Male","50 - 54","2013-14",51
"40",12,"Male","55 - 59","2013-14",43
"41",13,"Male","60 - 64","2013-14",28
"42",14,"Male","65 and older","2013-14",52
"43",15,"Female","0 - 4","2013-14",57
"44",16,"Female","5 - 9","2013-14",94
"45",17,"Female","10 - 14","2013-14",93
"46",18,"Female","15 - 19","2013-14",96
