"","X1","Gender","Age Range","Year","Cases"
"1",1,"Male","0 - 4","Year","2014-15"
"2",2,"Male","5 - 9","Year","2014-15"
"3",3,"Male","10 - 14","Year","2014-15"
"4",4,"Male","15 - 19","Year","2014-15"
"5",5,"Male","20 - 24","Year","2014-15"
"6",6,"Male","25 - 29","Year","2014-15"
"7",7,"Male","30 - 34","Year","2014-15"
"8",8,"Male","35 - 39","Year","2014-15"
"9",9,"Male","40 - 44","Year","2014-15"
"10",10,"Male","45 - 49","Year","2014-15"
"11",11,"Male","50 - 54","Year","2014-15"
"12",12,"Male","55 - 59","Year","2014-15"
"13",13,"Male","60 - 64","Year","2014-15"
"14",14,"Male","65 and older","Year","2014-15"
"15",15,"Female","0 - 4","Year","2014-15"
"16",16,"Female","5 - 9","Year","2014-15"
"17",17,"Female","10 - 14","Year","2014-15"
"18",18,"Female","15 - 19","Year","2014-15"
"19",19,"Female","20 - 24","Year","2014-15"
"20",20,"Female","25 - 29","Year","2014-15"
"21",21,"Female","30 - 34","Year","2014-15"
"22",22,"Female","35 - 39","Year","2014-15"
"23",23,"Female","40 - 44","Year","2014-15"
"24",24,"Female","45 - 49","Year","2014-15"
"25",25,"Female","50 - 54","Year","2014-15"
"26",26,"Female","55 - 59","Year","2014-15"
"27",27,"Female","60 - 64","Year","2014-15"
"28",28,"Female","65 and older","Year","2014-15"
"29",1,"Male","0 - 4","Year","2014-15"
"30",2,"Male","5 - 9","Year","2014-15"
"31",3,"Male","10 - 14","Year","2014-15"
"32",4,"Male","15 - 19","Year","2014-15"
"33",5,"Male","20 - 24","Year","2014-15"
"34",6,"Male","25 - 29","Year","2014-15"
"35",7,"Male","30 - 34","Year","2014-15"
"36",8,"Male","35 - 39","Year","2014-15"
"37",9,"Male","40 - 44","Year","2014-15"
"38",10,"Male","45 - 49","Year","2014-15"
"39",11,"Male","50 - 54","Year","2014-15"
"40",12,"Male","55 - 59","Year","2014-15"
"41",13,"Male","60 - 64","Year","2014-15"
"42",14,"Male","65 and older","Year","2014-15"
"43",15,"Female","0 - 4","Year","2014-15"
"44",16,"Female","5 - 9","Year","2014-15"
"45",17,"Female","10 - 14","Year","2014-15"
"46",18,"Female","15 - 19","Year","2014-15"
"47",19,"Female","20 - 24","Year","2014-15"
"48",20,"Female","25 - 29","Year","2014-15"
"49",21,"Female","30 - 34","Year","2014-15"
"50",22,"Female","35 - 39","Year","2014-15"
"51",23,"Female","40 - 44","Year","2014-15"
"52",24,"Female","45 - 49","Year","2014-15"
"53",25,"Female","50 - 54","Year","2014-15"
"54",26,"Female","55 - 59","Year","2014-15"
"55",27,"Female","60 - 64","Year","2014-15"
"56",28,"Female","65 and older","Year","2014-15"
"57",1,"Male","0 - 4","Year","2015-16"
"58",2,"Male","5 - 9","Year","2015-16"
"59",3,"Male","10 - 14","Year","2015-16"
"60",4,"Male","15 - 19","Year","2015-16"
"61",5,"Male","20 - 24","Year","2015-16"
"62",6,"Male","25 - 29","Year","2015-16"
"63",7,"Male","30 - 34","Year","2015-16"
"64",8,"Male","35 - 39","Year","2015-16"
"65",9,"Male","40 - 44","Year","2015-16"
"66",10,"Male","45 - 49","Year","2015-16"
"67",11,"Male","50 - 54","Year","2015-16"
"68",12,"Male","55 - 59","Year","2015-16"
"69",13,"Male","60 - 64","Year","2015-16"
"70",14,"Male","65 and older","Year","2015-16"
"71",15,"Female","0 - 4","Year","2015-16"
"72",16,"Female","5 - 9","Year","2015-16"
"73",17,"Female","10 - 14","Year","2015-16"
"74",18,"Female","15 - 19","Year","2015-16"
"75",19,"Female","20 - 24","Year","2015-16"
"76",20,"Female","25 - 29","Year","2015-16"
"77",21,"Female","30 - 34","Year","2015-16"
"78",22,"Female","35 - 39","Year","2015-16"
"79",23,"Female","40 - 44","Year","2015-16"
"80",24,"Female","45 - 49","Year","2015-16"
"81",25,"Female","50 - 54","Year","2015-16"
"82",26,"Female","55 - 59","Year","2015-16"
"83",27,"Female","60 - 64","Year","2015-16"
"84",28,"Female","65 and older","Year","2015-16"
"85",1,"Male","0 - 4","Year","2015-16"
"86",2,"Male","5 - 9","Year","2015-16"
"87",3,"Male","10 - 14","Year","2015-16"
"88",4,"Male","15 - 19","Year","2015-16"
"89",5,"Male","20 - 24","Year","2015-16"
"90",6,"Male","25 - 29","Year","2015-16"
"91",7,"Male","30 - 34","Year","2015-16"
"92",8,"Male","35 - 39","Year","2015-16"
"93",9,"Male","40 - 44","Year","2015-16"
"94",10,"Male","45 - 49","Year","2015-16"
"95",11,"Male","50 - 54","Year","2015-16"
"96",12,"Male","55 - 59","Year","2015-16"
"97",13,"Male","60 - 64","Year","2015-16"
"98",14,"Male","65 and older","Year","2015-16"
"99",15,"Female","0 - 4","Year","2015-16"
"100",16,"Female","5 - 9","Year","2015-16"
"101",17,"Female","10 - 14","Year","2015-16"
"102",18,"Female","15 - 19","Year","2015-16"
"103",19,"Female","20 - 24","Year","2015-16"
"104",20,"Female","25 - 29","Year","2015-16"
"105",21,"Female","30 - 34","Year","2015-16"
"106",22,"Female","35 - 39","Year","2015-16"
"107",23,"Female","40 - 44","Year","2015-16"
"108",24,"Female","45 - 49","Year","2015-16"
"109",25,"Female","50 - 54","Year","2015-16"
"110",26,"Female","55 - 59","Year","2015-16"
"111",27,"Female","60 - 64","Year","2015-16"
"112",28,"Female","65 and older","Year","2015-16"
"113",1,"Male","0 - 4","2016-17","29"
"114",2,"Male","5 - 9","2016-17","97"
"115",3,"Male","10 - 14","2016-17","100"
"116",4,"Male","15 - 19","2016-17","80"
"117",5,"Male","20 - 24","2016-17","90"
"118",6,"Male","25 - 29","2016-17","112"
"119",7,"Male","30 - 34","2016-17","120"
"120",8,"Male","35 - 39","2016-17","148"
"121",9,"Male","40 - 44","2016-17","134"
"122",10,"Male","45 - 49","2016-17","163"
"123",11,"Male","50 - 54","2016-17","118"
"124",12,"Male","55 - 59","2016-17","99"
"125",13,"Male","60 - 64","2016-17","63"
"126",14,"Male","65 and older","2016-17","148"
"127",15,"Female","0 - 4","2016-17","48"
"128",16,"Female","5 - 9","2016-17","106"
"129",17,"Female","10 - 14","2016-17","114"
"130",18,"Female","15 - 19","2016-17","126"
"131",19,"Female","20 - 24","2016-17","195"
"132",20,"Female","25 - 29","2016-17","222"
"133",21,"Female","30 - 34","2016-17","268"
"134",22,"Female","35 - 39","2016-17","247"
"135",23,"Female","40 - 44","2016-17","226"
"136",24,"Female","45 - 49","2016-17","231"
"137",25,"Female","50 - 54","2016-17","95"
"138",26,"Female","55 - 59","2016-17","54"
"139",27,"Female","60 - 64","2016-17","54"
"140",28,"Female","65 and older","2016-17","82"
"141",1,"Male","0 - 4","2016-17","29"
"142",2,"Male","5 - 9","2016-17","97"
"143",3,"Male","10 - 14","2016-17","100"
"144",4,"Male","15 - 19","2016-17","80"
"145",5,"Male","20 - 24","2016-17","90"
"146",6,"Male","25 - 29","2016-17","112"
"147",7,"Male","30 - 34","2016-17","120"
"148",8,"Male","35 - 39","2016-17","148"
"149",9,"Male","40 - 44","2016-17","134"
"150",10,"Male","45 - 49","2016-17","163"
"151",11,"Male","50 - 54","2016-17","118"
"152",12,"Male","55 - 59","2016-17","99"
"153",13,"Male","60 - 64","2016-17","63"
"154",14,"Male","65 and older","2016-17","148"
"155",15,"Female","0 - 4","2016-17","48"
"156",16,"Female","5 - 9","2016-17","106"
"157",17,"Female","10 - 14","2016-17","114"
"158",18,"Female","15 - 19","2016-17","126"
"159",19,"Female","20 - 24","2016-17","195"
"160",20,"Female","25 - 29","2016-17","222"
"161",21,"Female","30 - 34","2016-17","268"
"162",22,"Female","35 - 39","2016-17","247"
"163",23,"Female","40 - 44","2016-17","226"
"164",24,"Female","45 - 49","2016-17","231"
"165",25,"Female","50 - 54","2016-17","95"
"166",26,"Female","55 - 59","2016-17","54"
"167",27,"Female","60 - 64","2016-17","54"
"168",28,"Female","65 and older","2016-17","82"
"169",1,"Male","0 - 4","2016-17","29"
"170",2,"Male","5 - 9","2016-17","97"
"171",3,"Male","10 - 14","2016-17","100"
"172",4,"Male","15 - 19","2016-17","80"
"173",5,"Male","20 - 24","2016-17","90"
"174",6,"Male","25 - 29","2016-17","112"
"175",7,"Male","30 - 34","2016-17","120"
"176",8,"Male","35 - 39","2016-17","148"
"177",9,"Male","40 - 44","2016-17","134"
"178",10,"Male","45 - 49","2016-17","163"
"179",11,"Male","50 - 54","2016-17","118"
"180",12,"Male","55 - 59","2016-17","99"
"181",13,"Male","60 - 64","2016-17","63"
"182",14,"Male","65 and older","2016-17","148"
"183",15,"Female","0 - 4","2016-17","48"
"184",16,"Female","5 - 9","2016-17","106"
"185",17,"Female","10 - 14","2016-17","114"
"186",18,"Female","15 - 19","2016-17","126"
"187",19,"Female","20 - 24","2016-17","195"
"188",20,"Female","25 - 29","2016-17","222"
"189",21,"Female","30 - 34","2016-17","268"
"190",22,"Female","35 - 39","2016-17","247"
"191",23,"Female","40 - 44","2016-17","226"
"192",24,"Female","45 - 49","2016-17","231"
"193",25,"Female","50 - 54","2016-17","95"
"194",26,"Female","55 - 59","2016-17","54"
"195",27,"Female","60 - 64","2016-17","54"
"196",28,"Female","65 and older","2016-17","82"
"197",1,"Male","0 - 4","2016-17","29"
"198",2,"Male","5 - 9","2016-17","97"
"199",3,"Male","10 - 14","2016-17","100"
"200",4,"Male","15 - 19","2016-17","80"
"201",5,"Male","20 - 24","2016-17","90"
"202",6,"Male","25 - 29","2016-17","112"
"203",7,"Male","30 - 34","2016-17","120"
"204",8,"Male","35 - 39","2016-17","148"
"205",9,"Male","40 - 44","2016-17","134"
"206",10,"Male","45 - 49","2016-17","163"
"207",11,"Male","50 - 54","2016-17","118"
"208",12,"Male","55 - 59","2016-17","99"
"209",13,"Male","60 - 64","2016-17","63"
"210",14,"Male","65 and older","2016-17","148"
"211",15,"Female","0 - 4","2016-17","48"
"212",16,"Female","5 - 9","2016-17","106"
"213",17,"Female","10 - 14","2016-17","114"
"214",18,"Female","15 - 19","2016-17","126"
"215",19,"Female","20 - 24","2016-17","195"
"216",20,"Female","25 - 29","2016-17","222"
"217",21,"Female","30 - 34","2016-17","268"
"218",22,"Female","35 - 39","2016-17","247"
"219",23,"Female","40 - 44","2016-17","226"
"220",24,"Female","45 - 49","2016-17","231"
"221",25,"Female","50 - 54","2016-17","95"
"222",26,"Female","55 - 59","2016-17","54"
"223",27,"Female","60 - 64","2016-17","54"
"224",28,"Female","65 and older","2016-17","82"
