month,employed
Feb-1978,1629.0
Mar-1978,1652.7
Apr-1978,1664.8
May-1978,1656.6
Jun-1978,1653.6
Jul-1978,1655.0
Aug-1978,1638.7
Sep-1978,1639.5
Oct-1978,1635.3
Nov-1978,1642.4
Dec-1978,1662.5
Jan-1979,1627.5
Feb-1979,1656.2
Mar-1979,1667.2
Apr-1979,1663.3
May-1979,1660.0
Jun-1979,1657.3
Jul-1979,1653.4
Aug-1979,1648.2
Sep-1979,1667.2
Oct-1979,1666.1
Nov-1979,1682.0
Dec-1979,1702.7
Jan-1980,1664.5
Feb-1980,1689.7
Mar-1980,1688.6
Apr-1980,1676.4
May-1980,1691.5
Jun-1980,1687.8
Jul-1980,1700.6
Aug-1980,1703.1
Sep-1980,1706.3
Oct-1980,1694.3
Nov-1980,1703.4
Dec-1980,1732.1
Jan-1981,1680.4
Feb-1981,1711.4
Mar-1981,1738.4
Apr-1981,1734.2
May-1981,1727.3
Jun-1981,1724.4
Jul-1981,1727.2
Aug-1981,1721.1
Sep-1981,1739.8
Oct-1981,1727.0
Nov-1981,1717.7
Dec-1981,1737.2
Jan-1982,1688.4
Feb-1982,1712.7
Mar-1982,1728.3
Apr-1982,1718.2
May-1982,1715.0
Jun-1982,1711.3
Jul-1982,1720.0
Aug-1982,1717.0
Sep-1982,1725.3
Oct-1982,1709.9
Nov-1982,1683.8
Dec-1982,1702.7
Jan-1983,1649.9
Feb-1983,1673.5
Mar-1983,1677.6
Apr-1983,1656.9
May-1983,1658.7
Jun-1983,1668.3
Jul-1983,1684.3
Aug-1983,1675.1
Sep-1983,1700.4
Oct-1983,1698.1
Nov-1983,1702.4
Dec-1983,1726.2
Jan-1984,1648.2
Feb-1984,1694.4
Mar-1984,1735.8
Apr-1984,1721.3
May-1984,1728.2
Jun-1984,1730.3
Jul-1984,1744.8
Aug-1984,1722.8
Sep-1984,1757.4
Oct-1984,1753.6
Nov-1984,1759.7
Dec-1984,1782.0
Jan-1985,1716.6
Feb-1985,1758.7
Mar-1985,1758.0
Apr-1985,1743.1
May-1985,1765.8
Jun-1985,1767.8
Jul-1985,1795.9
Aug-1985,1786.2
Sep-1985,1811.7
Oct-1985,1786.7
Nov-1985,1828.7
Dec-1985,1840.9
Jan-1986,1796.4
Feb-1986,1824.1
Mar-1986,1857.8
Apr-1986,1853.3
May-1986,1851.9
Jun-1986,1856.2
Jul-1986,1854.2
Aug-1986,1828.6
Sep-1986,1878.4
Oct-1986,1881.0
Nov-1986,1871.8
Dec-1986,1903.8
Jan-1987,1853.7
Feb-1987,1881.5
Mar-1987,1923.0
Apr-1987,1913.3
May-1987,1921.9
